,Respondents,Assessments,N of Assessments,Last Assessment
17,1702,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P']",18,ICU_P
18,1700,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck']",19,SympChck
19,1699,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS']",20,SRS
20,1697,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P']",21,ARI_P
21,1695,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ']",22,SDQ
22,1694,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS']",23,DTS
23,1692,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ']",24,ASSQ
24,1685,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt']",25,Barratt
25,1678,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS']",26,SAS
26,1620,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P']",27,APQ_P
27,1605,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR']",28,APQ_SR
28,1534,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR', 'RBS']",29,RBS
29,1501,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR', 'RBS', 'PhenX_Neighborhood']",30,PhenX_Neighborhood
30,1440,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'PSI']",31,PSI
31,1239,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'PSI', 'C3SR']",32,C3SR
32,1235,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'PSI', 'C3SR', 'SCARED_SR']",33,SCARED_SR
33,1219,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'PSI', 'C3SR', 'SCARED_SR', 'CCSC']",34,CCSC
34,990,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'PSI', 'C3SR', 'SCARED_SR', 'CCSC', 'CPIC']",35,CPIC
35,488,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'PSI', 'C3SR', 'SCARED_SR', 'CCSC', 'CPIC', 'YSR']",36,YSR
36,341,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'PSI', 'C3SR', 'SCARED_SR', 'CCSC', 'CPIC', 'YSR', 'PhenX_SchoolRisk']",37,PhenX_SchoolRisk
37,0,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'PSI', 'C3SR', 'SCARED_SR', 'CCSC', 'CPIC', 'YSR', 'PhenX_SchoolRisk', 'CBCL_Pre']",38,CBCL_Pre
38,0,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'PSI', 'C3SR', 'SCARED_SR', 'CCSC', 'CPIC', 'YSR', 'PhenX_SchoolRisk', 'CBCL_Pre', 'SRS_Pre']",39,SRS_Pre
39,0,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'IAT', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'PSI', 'C3SR', 'SCARED_SR', 'CCSC', 'CPIC', 'YSR', 'PhenX_SchoolRisk', 'CBCL_Pre', 'SRS_Pre', 'ASR']",40,ASR
