,Amount missing,Persentage missing
"PreInt_DevHx,menstruation",820,66.182
"PreInt_EduHx,yrs_school",811,65.456
"PreInt_EduHx,number_schools",765,61.743
"PreInt_DevHx,skill_age_17",759,61.259
"CBCL,CBCL_113C",721,58.192
"PreInt_DevHx,skill_age_13",683,55.125
"CBCL,CBCL_113B",652,52.623
"PreInt_DevHx,skill_age_15",646,52.139
"PreInt_DevHx,puberty_age",589,47.538
"PreInt_DevHx,skill_age_12",536,43.261
"CBCL,CBCL_113A",526,42.454
"PreInt_DevHx,skill_age_14",497,40.113
"PreInt_DevHx,labor_dur",409,33.010
"PreInt_EduHx,getalongkids_neighborhood",254,20.500
"PreInt_EduHx,absent_skipping",235,18.967
"PreInt_DevHx,birthweight_ozs",228,18.402
"PreInt_EduHx,absent_other",223,17.998
"PreInt_EduHx,absent_late",218,17.595
"PreInt_EduHx,absent_ill",210,16.949
"PreInt_DevHx,skill_age_06",202,16.303
"PreInt_DevHx,hospital_dur",194,15.658
"PreInt_DevHx,premature",140,11.299
"SDQ,SDQ_27",131,10.573
"SDQ,SDQ_28",128,10.331
"SDQ,SDQ_29_d",123,9.927
"SDQ,SDQ_29_b",121,9.766
"SDQ,SDQ_29_c",119,9.605
"SDQ,SDQ_29_a",117,9.443
"SDQ,SDQ_30",113,9.120
"PreInt_DevHx,newborn_problems",112,9.040
"PreInt_EduHx,current_religious",105,8.475
"PreInt_DevHx,birthweight_lbs",103,8.313
"PreInt_EduHx,number_friends",100,8.071
"APQ_SR,APQ_SR_20A",82,6.618
"APQ_SR,APQ_SR_09A",80,6.457
"APQ_SR,APQ_SR_15A",80,6.457
"APQ_SR,APQ_SR_11A",79,6.376
"APQ_SR,APQ_SR_14A",79,6.376
"APQ_SR,APQ_SR_26A",78,6.295
"APQ_SR,APQ_SR_07A",78,6.295
"APQ_SR,APQ_SR_04A",77,6.215
"APQ_SR,APQ_SR_01A",71,5.730
"PreInt_DevHx,m_birthage",69,5.569
"CBCL,CBCL_56H",61,4.923
"PreInt_DevHx,complications",58,4.681
"WHODAS_P,WHODAS_P_Days03",56,4.520
"WHODAS_P,WHODAS_P_Days01",53,4.278
"PreInt_EduHx,afterschoolteams",51,4.116
"WHODAS_P,WHODAS_P_Days02",50,4.036
"WHODAS_SR,WHODAS_SR_Days01",48,3.874
"WHODAS_SR,WHODAS_SR_Days03",43,3.471
"WHODAS_SR,WHODAS_SR_Days02",41,3.309
"PreInt_EduHx,getalongkids_school",37,2.986
"PreInt_EduHx,bullied",30,2.421
"PreInt_EduHx,suspension",29,2.341
"CBCL,CBCL_41",26,2.098
"SCQ,SCQ_02",25,2.018
"SCQ,SCQ_04",24,1.937
"SCQ,SCQ_06",24,1.937
"SCQ,SCQ_07",24,1.937
"SCQ,SCQ_03",23,1.856
"SCQ,SCQ_05",23,1.856
"NIH_Scores,NIH7_List",23,1.856
"PreInt_DevHx,preg_dur",20,1.614
"PreInt_EduHx,school_difficulty",20,1.614
"Barratt,financialsupport",19,1.533
"NIH_Scores,NIH7_Pattern",19,1.533
"PreInt_EduHx,expulsion",19,1.533
"ESWAN,Panic_B13",17,1.372
"PreInt_EduHx,tutor",16,1.291
"ESWAN,Panic_B12",15,1.211
"PreInt_DevHx,delivery",15,1.211
"ESWAN,Panic_B11",15,1.211
"ESWAN,Panic_B05",13,1.049
"ESWAN,Panic_B09",13,1.049
"ESWAN,Panic_A03B",13,1.049
"ESWAN,Panic_B10",12,0.969
"ESWAN,Panic_A02B",12,0.969
"PreInt_EduHx,detention",12,0.969
"ESWAN,Panic_B02",12,0.969
"ESWAN,Panic_A01B",12,0.969
"ESWAN,Panic_B06",12,0.969
"ESWAN,Panic_A03A",12,0.969
"ESWAN,DMDD_10C",12,0.969
"SympChck,CSC_33P",11,0.888
"PreInt_DevHx,puberty",11,0.888
"ESWAN,Panic_B08",11,0.888
"ESWAN,Panic_B07",11,0.888
"PreInt_DevHx,lost_skills",11,0.888
"ESWAN,Panic_B04",10,0.807
"SDQ,SDQ_12",10,0.807
"ESWAN,Panic_A01A",10,0.807
"NIH_Scores,NIH7_Flanker",10,0.807
"SympChck,CSC_45P",10,0.807
"ESWAN,Panic_A02A",10,0.807
"ESWAN,Panic_B01",10,0.807
"ESWAN,Panic_B03",10,0.807
"NIH_Scores,NIH7_Card",10,0.807
"SympChck,CSC_32C",10,0.807
"SympChck,CSC_31P",10,0.807
"SympChck,CSC_26P",9,0.726
"SympChck,CSC_30P",9,0.726
"SWAN,SWAN_17",9,0.726
"ESWAN,DMDD_4C",9,0.726
"SympChck,CSC_12P",9,0.726
"SympChck,CSC_55bP",9,0.726
"SympChck,CSC_37P",9,0.726
"ESWAN,DMDD_10B",9,0.726
"SympChck,CSC_25P",8,0.646
"ESWAN,DMDD_8C",8,0.646
"SympChck,CSC_32P",8,0.646
"SympChck,CSC_39P",8,0.646
"SympChck,CSC_15P",8,0.646
"SympChck,CSC_16P",8,0.646
"SympChck,CSC_38P",8,0.646
"SympChck,CSC_19P",8,0.646
"PreInt_EduHx,family_religious",8,0.646
"ESWAN,DMDD_7C",8,0.646
"SympChck,CSC_10P",8,0.646
"SympChck,CSC_36P",8,0.646
"RBS,RBS_27",8,0.646
"SDQ,SDQ_24",8,0.646
"SDQ,SDQ_04",8,0.646
"SympChck,CSC_54P",8,0.646
"SympChck,CSC_55dC",8,0.646
"SympChck,CSC_20C",7,0.565
"ESWAN,DMDD_9B",7,0.565
"ESWAN,DMDD_8B",7,0.565
"SympChck,CSC_29P",7,0.565
"SympChck,CSC_24P",7,0.565
"RBS,RBS_44",7,0.565
"SympChck,CSC_08C",7,0.565
"SympChck,CSC_22P",7,0.565
"SympChck,CSC_21P",7,0.565
"SympChck,CSC_20P",7,0.565
"CBCL,CBCL_30",7,0.565
"CBCL,CBCL_70",7,0.565
"PreInt_EduHx,bestfriend",7,0.565
"SympChck,CSC_50P",7,0.565
"SympChck,CSC_42P",7,0.565
"SympChck,CSC_45C",7,0.565
"SympChck,CSC_06P",7,0.565
"SympChck,CSC_55fP",7,0.565
"SympChck,CSC_11P",7,0.565
"SympChck,CSC_55gP",6,0.484
"SympChck,CSC_37C",6,0.484
"ESWAN,DMDD_9A",6,0.484
"SWAN,SWAN_12",6,0.484
"ESWAN,DMDD_5C",6,0.484
"PCIAT,PCIAT_16",6,0.484
"PCIAT,PCIAT_17",6,0.484
"SWAN,SWAN_11",6,0.484
"CBCL,CBCL_112",6,0.484
"SWAN,SWAN_18",6,0.484
"SDQ,SDQ_23",6,0.484
"ESWAN,DMDD_2C",6,0.484
"SDQ,SDQ_22",6,0.484
"APQ_SR,APQ_SR_32",6,0.484
"SympChck,CSC_47P",6,0.484
"SympChck,CSC_41P",6,0.484
"SympChck,CSC_39C",6,0.484
"CBCL,CBCL_65",6,0.484
"SWAN,SWAN_15",6,0.484
"ESWAN,MDD_8B",6,0.484
"IAT,IAT_15",6,0.484
"CBCL,CBCL_82",6,0.484
"SympChck,CSC_35P",6,0.484
"RBS,RBS_24",6,0.484
"SympChck,CSC_18P",6,0.484
"SympChck,CSC_13P",6,0.484
"SympChck,CSC_55aC",5,0.404
"IAT,IAT_05",5,0.404
"IAT,IAT_06",5,0.404
"ESWAN,DMDD_9C",5,0.404
"SympChck,CSC_53P",5,0.404
"APQ_SR,APQ_SR_14",5,0.404
"C3SR,C3SR_18",5,0.404
"CBCL,CBCL_56C",5,0.404
"IAT,IAT_09",5,0.404
"SympChck,CSC_48P",5,0.404
"SympChck,CSC_55eP",5,0.404
"CBCL,CBCL_53",5,0.404
"SympChck,CSC_55hC",5,0.404
"SympChck,CSC_55hP",5,0.404
"SympChck,CSC_55iP",5,0.404
"CBCL,CBCL_29",5,0.404
"RBS,RBS_25",5,0.404
"SDQ,SDQ_14",5,0.404
"SDQ,SDQ_16",5,0.404
"C3SR,C3SR_36",5,0.404
"DTS,DTS_07",5,0.404
"RBS,RBS_26",5,0.404
"SWAN,SWAN_16",5,0.404
"SWAN,SWAN_10",5,0.404
"RBS,RBS_28",5,0.404
"SympChck,CSC_55iC",5,0.404
"APQ_SR,APQ_SR_26",5,0.404
"SympChck,CSC_23P",5,0.404
"CBCL,CBCL_85",5,0.404
"ESWAN,DMDD_5A",5,0.404
"CBCL,CBCL_84",5,0.404
"ESWAN,DMDD_8A",5,0.404
"SympChck,CSC_44P",5,0.404
"WHODAS_P,WHODAS_P_12",5,0.404
"CBCL,CBCL_67",5,0.404
"SympChck,CSC_38C",5,0.404
"CBCL,CBCL_86",5,0.404
"SympChck,CSC_14P",5,0.404
"ESWAN,DMDD_7B",5,0.404
"ESWAN,DMDD_6B",5,0.404
"ESWAN,DMDD_6C",4,0.323
"SDQ,SDQ_19",4,0.323
"SympChck,CSC_07P",4,0.323
"SDQ,SDQ_15",4,0.323
"APQ_SR,APQ_SR_15",4,0.323
"SDQ,SDQ_06",4,0.323
"APQ_SR,APQ_SR_20",4,0.323
"APQ_SR,APQ_SR_18",4,0.323
"APQ_SR,APQ_SR_19",4,0.323
"SWAN,SWAN_14",4,0.323
"SRS,SRS_64",4,0.323
"SDQ,SDQ_25",4,0.323
"ESWAN,DMDD_7A",4,0.323
"DTS,DTS_13",4,0.323
"ASSQ,ASSQ_12",4,0.323
"ESWAN,DMDD_10A",4,0.323
"SCQ,SCQ_18",4,0.323
"SympChck,CSC_36C",4,0.323
"APQ_SR,APQ_SR_24",4,0.323
"ESWAN,DMDD_6A",4,0.323
"SRS,SRS_21",4,0.323
"APQ_P,APQ_P_06",4,0.323
"SympChck,CSC_15C",4,0.323
"SympChck,CSC_03P",4,0.323
"SympChck,CSC_46P",4,0.323
"ICU_P,ICU_P_21",4,0.323
"SympChck,CSC_43P",4,0.323
"SympChck,CSC_49P",4,0.323
"SympChck,CSC_50C",4,0.323
"ESWAN,MDD_8A",4,0.323
"SympChck,CSC_52C",4,0.323
"SympChck,CSC_09P",4,0.323
"SympChck,CSC_53C",4,0.323
"ICU_P,ICU_P_16",4,0.323
"SRS,SRS_51",4,0.323
"SympChck,CSC_16C",4,0.323
"SympChck,CSC_55aP",4,0.323
"SympChck,CSC_17P",4,0.323
"SympChck,CSC_55cP",4,0.323
"ICU_P,ICU_P_15",4,0.323
"SympChck,CSC_26C",4,0.323
"SympChck,CSC_27P",4,0.323
"SympChck,CSC_33C",4,0.323
"SympChck,CSC_34P",4,0.323
"SRS,SRS_15",4,0.323
"APQ_SR,APQ_SR_28",4,0.323
"C3SR,C3SR_39",4,0.323
"SWAN,SWAN_13",4,0.323
"CBCL,CBCL_55",4,0.323
"CBCL,CBCL_40",4,0.323
"CBCL,CBCL_44",4,0.323
"PCIAT,PCIAT_19",4,0.323
"CIS_SR,CIS_SR_03",4,0.323
"CBCL,CBCL_46",4,0.323
"RBS,RBS_22",4,0.323
"IAT,IAT_03",4,0.323
"C3SR,C3SR_19",4,0.323
"RBS,RBS_13",4,0.323
"IAT,IAT_10",4,0.323
"WHODAS_SR,WHODAS_SR_11",4,0.323
"CBCL,CBCL_98",4,0.323
"PCIAT,PCIAT_07",4,0.323
"IAT,IAT_16",4,0.323
"IAT,IAT_17",4,0.323
"CBCL,CBCL_66",4,0.323
"CBCL,CBCL_92",4,0.323
"RBS,RBS_21",4,0.323
"IAT,IAT_20",4,0.323
"CBCL,CBCL_73",4,0.323
"PCIAT,PCIAT_20",4,0.323
"WHODAS_SR,WHODAS_SR_12",4,0.323
"CBCL,CBCL_77",4,0.323
"CBCL,CBCL_105",4,0.323
"SCARED_P,SCARED_P_34",4,0.323
"C3SR,C3SR_34",4,0.323
"CBCL,CBCL_09",4,0.323
"CBCL,CBCL_10",4,0.323
"C3SR,C3SR_35",4,0.323
"C3SR,C3SR_33",4,0.323
"PSI,PSI_10",4,0.323
"CBCL,CBCL_103",4,0.323
"SympChck,CSC_27C",3,0.242
"SympChck,CSC_28C",3,0.242
"CBCL,CBCL_96",3,0.242
"SympChck,CSC_30C",3,0.242
"APQ_SR,APQ_SR_17",3,0.242
"RBS,RBS_39",3,0.242
"SCQ,SCQ_17",3,0.242
"SympChck,CSC_35C",3,0.242
"SCQ,SCQ_35",3,0.242
"APQ_SR,APQ_SR_07",3,0.242
"SympChck,CSC_11C",3,0.242
"PSI,PSI_33",3,0.242
"SCARED_P,SCARED_P_30",3,0.242
"APQ_SR,APQ_SR_04",3,0.242
"APQ_SR,APQ_SR_12",3,0.242
"SympChck,CSC_17C",3,0.242
"CIS_P,CIS_P_10",3,0.242
"ICU_P,ICU_P_17",3,0.242
"ICU_P,ICU_P_22",3,0.242
"APQ_SR,APQ_SR_11",3,0.242
"CBCL,CBCL_80",3,0.242
"SympChck,CSC_01P",3,0.242
"APQ_SR,APQ_SR_09",3,0.242
"SympChck,CSC_05P",3,0.242
"PSI,PSI_24",3,0.242
"APQ_SR,APQ_SR_16",3,0.242
"CBCL,CBCL_58",3,0.242
"CBCL,CBCL_79",3,0.242
"APQ_P,APQ_P_30",3,0.242
"CBCL,CBCL_32",3,0.242
"SRS,SRS_22",3,0.242
"SRS,SRS_37",3,0.242
"SRS,SRS_44",3,0.242
"C3SR,C3SR_23",3,0.242
"CBCL,CBCL_28",3,0.242
"C3SR,C3SR_24",3,0.242
"SRS,SRS_65",3,0.242
"SAS,SAS_09",3,0.242
"SAS,SAS_07",3,0.242
"CBCL,CBCL_16",3,0.242
"CBCL,CBCL_15",3,0.242
"C3SR,C3SR_32",3,0.242
"CBCL,CBCL_109",3,0.242
"CBCL,CBCL_100",3,0.242
"DTS,DTS_14",3,0.242
"DTS,DTS_15",3,0.242
"SRS,SRS_14",3,0.242
"SympChck,CSC_55gC",3,0.242
"SympChck,CSC_40P",3,0.242
"SympChck,CSC_55dP",3,0.242
"SympChck,CSC_42C",3,0.242
"SympChck,CSC_43C",3,0.242
"CBCL,CBCL_60",3,0.242
"APQ_SR,APQ_SR_23",3,0.242
"C3SR,C3SR_16",3,0.242
"C3SR,C3SR_17",3,0.242
"APQ_P,APQ_P_37",3,0.242
"CBCL,CBCL_56F",3,0.242
"CBCL,CBCL_56E",3,0.242
"SympChck,CSC_51P",3,0.242
"SympChck,CSC_52P",3,0.242
"SympChck,CSC_54C",3,0.242
"CBCL,CBCL_50",3,0.242
"CBCL,CBCL_49",3,0.242
"CBCL,CBCL_48",3,0.242
"SympChck,CSC_55bC",3,0.242
"SympChck,CSC_55cC",3,0.242
"SCQ,SCQ_15",3,0.242
"SympChck,CSC_23C",3,0.242
"SCQ,SCQ_10",3,0.242
"MFQ_P,MFQ_P_09",3,0.242
"ESWAN,MDD_7",3,0.242
"PCIAT,PCIAT_14",3,0.242
"ESWAN,DMDD_5B",3,0.242
"IAT,IAT_19",3,0.242
"PCIAT,PCIAT_15",3,0.242
"ESWAN,MDD_9",3,0.242
"APQ_SR,APQ_SR_25",3,0.242
"IAT,IAT_14",3,0.242
"IAT,IAT_08",3,0.242
"IAT,IAT_04",3,0.242
"RBS,RBS_30",3,0.242
"APQ_SR,APQ_SR_33",3,0.242
"MFQ_P,MFQ_P_32",3,0.242
"MFQ_P,MFQ_P_33",3,0.242
"RBS,RBS_23",3,0.242
"PCIAT,PCIAT_12",3,0.242
"ESWAN,DMDD_3C",3,0.242
"WHODAS_P,WHODAS_P_09",3,0.242
"PreInt_EduHx,repeated_grades",3,0.242
"ESWAN,MDD_2B",3,0.242
"PCIAT,PCIAT_03",3,0.242
"PCIAT,PCIAT_05",3,0.242
"WHODAS_P,WHODAS_P_07",3,0.242
"PCIAT,PCIAT_08",3,0.242
"CIS_SR,CIS_SR_07",3,0.242
"ESWAN,MDD_6",3,0.242
"RBS,RBS_12",3,0.242
"PCIAT,PCIAT_18",2,0.161
"APQ_P,APQ_P_36",2,0.161
"PCIAT,PCIAT_04",2,0.161
"CBCL,CBCL_51",2,0.161
"APQ_P,APQ_P_28",2,0.161
"CBCL,CBCL_35",2,0.161
"SRS,SRS_16",2,0.161
"RBS,RBS_20",2,0.161
"CBCL,CBCL_62",2,0.161
"SRS,SRS_17",2,0.161
"SRS,SRS_19",2,0.161
"SRS,SRS_20",2,0.161
"PCIAT,PCIAT_13",2,0.161
"PreInt_DevHx,growth_concerns",2,0.161
"RBS,RBS_16",2,0.161
"SRS,SRS_23",2,0.161
"SRS,SRS_25",2,0.161
"SRS,SRS_02",2,0.161
"CBCL,CBCL_36",2,0.161
"ESWAN,DMDD_4B",2,0.161
"C3SR,C3SR_22",2,0.161
"C3SR,C3SR_20",2,0.161
"CBCL,CBCL_56D",2,0.161
"ESWAN,DMDD_4A",2,0.161
"SympChck,CSC_51C",2,0.161
"SRS,SRS_26",2,0.161
"CBCL,CBCL_45",2,0.161
"PCIAT,PCIAT_06",2,0.161
"ESWAN,DMDD_3A",2,0.161
"SympChck,CSC_55eC",2,0.161
"SympChck,CSC_55fC",2,0.161
"CBCL,CBCL_43",2,0.161
"ESWAN,DMDD_2A",2,0.161
"C3SR,C3SR_21",2,0.161
"RBS,RBS_19",2,0.161
"CBCL,CBCL_39",2,0.161
"ESWAN,DMDD_1C",2,0.161
"APQ_P,APQ_P_16",2,0.161
"APQ_P,APQ_P_25",2,0.161
"RBS,RBS_08",2,0.161
"SDQ,SDQ_10",2,0.161
"SDQ,SDQ_11",2,0.161
"CBCL,CBCL_18",2,0.161
"SDQ,SDQ_13",2,0.161
"CBCL,CBCL_17",2,0.161
"RBS,RBS_06",2,0.161
"SDQ,SDQ_17",2,0.161
"ASSQ,ASSQ_27",2,0.161
"C3SR,C3SR_29",2,0.161
"SDQ,SDQ_20",2,0.161
"C3SR,C3SR_30",2,0.161
"MFQ_P,MFQ_P_18",2,0.161
"RBS,RBS_09",2,0.161
"APQ_P,APQ_P_20",2,0.161
"CBCL,CBCL_104",2,0.161
"DTS,DTS_04",2,0.161
"DTS,DTS_05",2,0.161
"MFQ_P,MFQ_P_03",2,0.161
"DTS,DTS_08",2,0.161
"ASSQ,ASSQ_18",2,0.161
"ASSQ,ASSQ_15",2,0.161
"ASSQ,ASSQ_14",2,0.161
"MFQ_P,MFQ_P_02",2,0.161
"SWAN,SWAN_04",2,0.161
"ASSQ,ASSQ_02",2,0.161
"ASSQ,ASSQ_05",2,0.161
"SDQ,SDQ_08",2,0.161
"C3SR,C3SR_27",2,0.161
"SDQ,SDQ_02",2,0.161
"SRS,SRS_Total_T",2,0.161
"SRS,SRS_30",2,0.161
"SRS,SRS_34",2,0.161
"APQ_SR,APQ_SR_30",2,0.161
"APQ_P,APQ_P_15",2,0.161
"SRS,SRS_38",2,0.161
"SRS,SRS_39",2,0.161
"SRS,SRS_42",2,0.161
"SRS,SRS_43",2,0.161
"SRS,SRS_47",2,0.161
"SRS,SRS_48",2,0.161
"SRS,SRS_49",2,0.161
"SRS,SRS_50",2,0.161
"MFQ_P,MFQ_P_29",2,0.161
"APQ_P,APQ_P_10",2,0.161
"SRS,SRS_57",2,0.161
"SRS,SRS_62",2,0.161
"SRS,SRS_63",2,0.161
"C3SR,C3SR_25",2,0.161
"APQ_SR,APQ_SR_37",2,0.161
"SAS,SAS_10",2,0.161
"SRS,SRS_COG_T",2,0.161
"SRS,SRS_COM_T",2,0.161
"APQ_SR,APQ_SR_40",2,0.161
"SAS,SAS_06",2,0.161
"SRS,SRS_SCI_T",2,0.161
"C3SR,C3SR_15",2,0.161
"PCIAT,PCIAT_09",2,0.161
"APQ_SR,APQ_SR_29",2,0.161
"SCARED_P,SCARED_P_02",2,0.161
"SympChck,CSC_08P",2,0.161
"SCARED_P,SCARED_P_09",2,0.161
"RBS,RBS_34",2,0.161
"SympChck,CSC_10C",2,0.161
"PSI,PSI_23",2,0.161
"SCQ,SCQ_39",2,0.161
"WHODAS_SR,WHODAS_SR_07",2,0.161
"WHODAS_SR,WHODAS_SR_10",2,0.161
"SympChck,CSC_12C",2,0.161
"APQ_SR,APQ_SR_05",2,0.161
"ICU_P,ICU_P_03",2,0.161
"SCQ,SCQ_37",2,0.161
"SCQ,SCQ_36",2,0.161
"CIS_P,CIS_P_11",2,0.161
"SCQ,SCQ_34",2,0.161
"PSI,PSI_28",2,0.161
"CIS_P,CIS_P_05",2,0.161
"PSI,PSI_29",2,0.161
"ICU_P,ICU_P_18",2,0.161
"SympChck,CSC_18C",2,0.161
"WHODAS_P,WHODAS_P_11",2,0.161
"PSI,PSI_20",2,0.161
"SympChck,CSC_19C",2,0.161
"SympChck,CSC_02C",2,0.161
"ICU_P,ICU_P_19",2,0.161
"RBS,RBS_32",2,0.161
"ICU_P,ICU_P_20",2,0.161
"SCARED_P,SCARED_P_21",2,0.161
"ESWAN,SocAnx_03",2,0.161
"ICU_P,ICU_P_23",2,0.161
"ESWAN,SocAnx_02",2,0.161
"APQ_SR,APQ_SR_10",2,0.161
"ESWAN,SocAnx_01",2,0.161
"PSI,PSI_11",2,0.161
"WHODAS_SR,WHODAS_SR_05",2,0.161
"WHODAS_SR,WHODAS_SR_03",2,0.161
"SCARED_P,SCARED_P_26",2,0.161
"ESWAN,SocAnx_05",2,0.161
"APQ_SR,APQ_SR_13",2,0.161
"ICU_P,ICU_P_11",2,0.161
"SCARED_P,SCARED_P_27",2,0.161
"SympChck,CSC_05C",2,0.161
"SympChck,CSC_06C",2,0.161
"SCARED_P,SCARED_P_15",2,0.161
"CBCL,CBCL_TP_T",2,0.161
"CBCL,CBCL_Total_T",2,0.161
"SCQ,SCQ_32",2,0.161
"C3SR,C3SR_12",2,0.161
"SympChck,CSC_29C",2,0.161
"SympChck,CSC_31C",2,0.161
"CBCL,CBCL_94",2,0.161
"CBCL,CBCL_91",2,0.161
"CBCL,CBCL_90",2,0.161
"SympChck,CSC_34C",2,0.161
"CBCL,CBCL_89",2,0.161
"CBCL,CBCL_83",2,0.161
"SCQ,SCQ_09",2,0.161
"ESWAN,MDD_5",2,0.161
"IAT,IAT_13",2,0.161
"C3SR,C3SR_13",2,0.161
"CBCL,CBCL_76",2,0.161
"CBCL,CBCL_75",2,0.161
"CBCL,CBCL_74",2,0.161
"SCQ,SCQ_14",2,0.161
"ESWAN,MDD_3B",2,0.161
"SympChck,CSC_41C",2,0.161
"SCQ,SCQ_13",2,0.161
"C3SR,C3SR_14",2,0.161
"SympChck,CSC_28P",2,0.161
"IAT,IAT_18",2,0.161
"PSI,PSI_32",2,0.161
"SCQ,SCQ_22",2,0.161
"CBCL,CBCL_Ext_T",2,0.161
"SympChck,CSC_24C",2,0.161
"IAT,IAT_02",2,0.161
"SCARED_P,SCARED_P_38",2,0.161
"APQ_SR,APQ_SR_01",2,0.161
"CBCL,CBCL_RBB_T",2,0.161
"SCQ,SCQ_24",2,0.161
"APQ_SR,APQ_SR_21",2,0.161
"IAT,IAT_11",2,0.161
"CBCL,CBCL_SC_T",2,0.161
"RBS,RBS_38",2,0.161
"ASSQ,ASSQ_19",1,0.081
"RBS,RBS_41",1,0.081
"PSI,PSI_06",1,0.081
"RBS,RBS_35",1,0.081
"C3SR,C3SR_38",1,0.081
"RBS,RBS_10",1,0.081
"ASSQ,ASSQ_13",1,0.081
"ASSQ,ASSQ_21",1,0.081
"ASSQ,ASSQ_26",1,0.081
"RBS,RBS_07",1,0.081
"RBS,RBS_40",1,0.081
"RBS,RBS_05",1,0.081
"RBS,RBS_33",1,0.081
"RBS,RBS_42",1,0.081
"RBS,RBS_14",1,0.081
"RBS,RBS_37",1,0.081
"RBS,RBS_11",1,0.081
"C3SR,C3SR_31",1,0.081
"C3SR,C3SR_28",1,0.081
"APQ_SR,APQ_SR_06",1,0.081
"C3SR,C3SR_26",1,0.081
"PSI,PSI_PD_T",1,0.081
"PSI,PSI_30",1,0.081
"ASSQ,ASSQ_09",1,0.081
"APQ_P,APQ_P_27",1,0.081
"APQ_P,APQ_P_29",1,0.081
"APQ_P,APQ_P_32",1,0.081
"APQ_P,APQ_P_35",1,0.081
"PSI,PSI_DC_T",1,0.081
"PSI,PSI_PCDI_T",1,0.081
"PSI,PSI_Total_T",1,0.081
"SAS,SAS_03",1,0.081
"APQ_SR,APQ_SR_31",1,0.081
"C3SR,C3SR_03",1,0.081
"C3SR,C3SR_04",1,0.081
"C3SR,C3SR_11",1,0.081
"RBS,RBS_17",1,0.081
"APQ_SR,APQ_SR_22",1,0.081
"APQ_P,APQ_P_40",1,0.081
"APQ_SR,APQ_SR_27",1,0.081
"APQ_P,APQ_P_26",1,0.081
"PSI,PSI_27",1,0.081
"PSI,PSI_25",1,0.081
"APQ_P,APQ_P_23",1,0.081
"APQ_SR,APQ_SR_39",1,0.081
"PSI,PSI_12",1,0.081
"APQ_P,APQ_P_01",1,0.081
