,Respondents,Assessments,N of Assessments,Last Assessment
22,1844,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ', 'SWAN', 'ESWAN', 'CBCL', 'SRS', 'APQ_P', 'MFQ_P', 'WHODAS_P', 'CIS_P', 'PSI', 'APQ_SR', 'RBS']",23,RBS
23,1827,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ', 'SWAN', 'ESWAN', 'CBCL', 'SRS', 'APQ_P', 'MFQ_P', 'WHODAS_P', 'CIS_P', 'PSI', 'APQ_SR', 'RBS', 'PhenX_Neighborhood']",24,PhenX_Neighborhood
24,1797,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ', 'SWAN', 'ESWAN', 'CBCL', 'SRS', 'APQ_P', 'MFQ_P', 'WHODAS_P', 'CIS_P', 'PSI', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'WHODAS_SR']",25,WHODAS_SR
25,1775,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ', 'SWAN', 'ESWAN', 'CBCL', 'SRS', 'APQ_P', 'MFQ_P', 'WHODAS_P', 'CIS_P', 'PSI', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'WHODAS_SR', 'CIS_SR']",26,CIS_SR
26,1567,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ', 'SWAN', 'ESWAN', 'CBCL', 'SRS', 'APQ_P', 'MFQ_P', 'WHODAS_P', 'CIS_P', 'PSI', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'WHODAS_SR', 'CIS_SR', 'IAT']",27,IAT
27,1360,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ', 'SWAN', 'ESWAN', 'CBCL', 'SRS', 'APQ_P', 'MFQ_P', 'WHODAS_P', 'CIS_P', 'PSI', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'WHODAS_SR', 'CIS_SR', 'IAT', 'SCARED_SR']",28,SCARED_SR
28,1353,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ', 'SWAN', 'ESWAN', 'CBCL', 'SRS', 'APQ_P', 'MFQ_P', 'WHODAS_P', 'CIS_P', 'PSI', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'WHODAS_SR', 'CIS_SR', 'IAT', 'SCARED_SR', 'C3SR']",29,C3SR
29,1333,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ', 'SWAN', 'ESWAN', 'CBCL', 'SRS', 'APQ_P', 'MFQ_P', 'WHODAS_P', 'CIS_P', 'PSI', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'WHODAS_SR', 'CIS_SR', 'IAT', 'SCARED_SR', 'C3SR', 'CCSC']",30,CCSC
30,1086,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ', 'SWAN', 'ESWAN', 'CBCL', 'SRS', 'APQ_P', 'MFQ_P', 'WHODAS_P', 'CIS_P', 'PSI', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'WHODAS_SR', 'CIS_SR', 'IAT', 'SCARED_SR', 'C3SR', 'CCSC', 'CPIC']",31,CPIC
31,570,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ', 'SWAN', 'ESWAN', 'CBCL', 'SRS', 'APQ_P', 'MFQ_P', 'WHODAS_P', 'CIS_P', 'PSI', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'WHODAS_SR', 'CIS_SR', 'IAT', 'SCARED_SR', 'C3SR', 'CCSC', 'CPIC', 'YSR']",32,YSR
32,422,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ', 'SWAN', 'ESWAN', 'CBCL', 'SRS', 'APQ_P', 'MFQ_P', 'WHODAS_P', 'CIS_P', 'PSI', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'WHODAS_SR', 'CIS_SR', 'IAT', 'SCARED_SR', 'C3SR', 'CCSC', 'CPIC', 'YSR', 'PhenX_SchoolRisk']",33,PhenX_SchoolRisk
33,0,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ', 'SWAN', 'ESWAN', 'CBCL', 'SRS', 'APQ_P', 'MFQ_P', 'WHODAS_P', 'CIS_P', 'PSI', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'WHODAS_SR', 'CIS_SR', 'IAT', 'SCARED_SR', 'C3SR', 'CCSC', 'CPIC', 'YSR', 'PhenX_SchoolRisk', 'CBCL_Pre']",34,CBCL_Pre
34,0,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ', 'SWAN', 'ESWAN', 'CBCL', 'SRS', 'APQ_P', 'MFQ_P', 'WHODAS_P', 'CIS_P', 'PSI', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'WHODAS_SR', 'CIS_SR', 'IAT', 'SCARED_SR', 'C3SR', 'CCSC', 'CPIC', 'YSR', 'PhenX_SchoolRisk', 'CBCL_Pre', 'SRS_Pre']",35,SRS_Pre
35,0,"['PreInt_EduHx', 'Basic_Demos', 'PCIAT', 'SCQ', 'PreInt_DevHx', 'SympChck', 'ICU_P', 'ASSQ', 'ARI_P', 'DTS', 'Barratt', 'SDQ', 'SWAN', 'ESWAN', 'CBCL', 'SRS', 'APQ_P', 'MFQ_P', 'WHODAS_P', 'CIS_P', 'PSI', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'WHODAS_SR', 'CIS_SR', 'IAT', 'SCARED_SR', 'C3SR', 'CCSC', 'CPIC', 'YSR', 'PhenX_SchoolRisk', 'CBCL_Pre', 'SRS_Pre', 'ASR']",36,ASR
