,Amount missing,Persentage missing
"ESWAN,Panic_B03",13,0.765
"SympChck,CSC_33P",13,0.765
"SympChck,CSC_15P",12,0.706
"SympChck,CSC_19P",12,0.706
"SympChck,CSC_22P",12,0.706
"SympChck,CSC_31P",12,0.706
"SympChck,CSC_26P",12,0.706
"ESWAN,DMDD_4C",12,0.706
"SympChck,CSC_55bP",11,0.647
"SympChck,CSC_06P",11,0.647
"SympChck,CSC_10P",11,0.647
"SympChck,CSC_12P",11,0.647
"SympChck,CSC_54P",11,0.647
"SympChck,CSC_16P",11,0.647
"PreInt_EduHx,bestfriend",11,0.647
"SympChck,CSC_37P",11,0.647
"SympChck,CSC_45P",11,0.647
"SWAN,SWAN_17",11,0.647
"ESWAN,DMDD_8C",10,0.588
"SympChck,CSC_45C",10,0.588
"SympChck,CSC_42P",10,0.588
"SympChck,CSC_39P",10,0.588
"SympChck,CSC_38P",10,0.588
"SympChck,CSC_25P",10,0.588
"SympChck,CSC_36P",10,0.588
"ESWAN,DMDD_8B",10,0.588
"ESWAN,MDD_8B",10,0.588
"SympChck,CSC_32P",9,0.529
"ESWAN,DMDD_9B",9,0.529
"SympChck,CSC_20P",9,0.529
"SympChck,CSC_35P",9,0.529
"SympChck,CSC_21P",9,0.529
"SWAN,SWAN_18",9,0.529
"SympChck,CSC_08C",9,0.529
"SympChck,CSC_24P",9,0.529
"CBCL,CBCL_30",9,0.529
"ESWAN,DMDD_7C",9,0.529
"ESWAN,DMDD_5C",9,0.529
"SympChck,CSC_18P",9,0.529
"SympChck,CSC_44P",8,0.471
"SympChck,CSC_23P",8,0.471
"SympChck,CSC_29P",8,0.471
"SympChck,CSC_50P",8,0.471
"SympChck,CSC_20C",8,0.471
"SympChck,CSC_46P",8,0.471
"SympChck,CSC_17P",8,0.471
"SympChck,CSC_14P",8,0.471
"ESWAN,MDD_7",8,0.471
"SympChck,CSC_55dC",8,0.471
"PCIAT,PCIAT_16",8,0.471
"ESWAN,DMDD_5A",8,0.471
"ESWAN,DMDD_9A",8,0.471
"ESWAN,DMDD_9C",8,0.471
"SympChck,CSC_55gP",8,0.471
"ESWAN,MDD_8A",8,0.471
"CBCL,CBCL_82",8,0.471
"SympChck,CSC_55fP",8,0.471
"SympChck,CSC_47P",8,0.471
"SympChck,CSC_11P",8,0.471
"SympChck,CSC_13P",8,0.471
"CBCL,CBCL_112",8,0.471
"SympChck,CSC_37C",7,0.412
"CBCL,CBCL_67",7,0.412
"PCIAT,PCIAT_07",7,0.412
"SWAN,SWAN_15",7,0.412
"SympChck,CSC_55iC",7,0.412
"ESWAN,DMDD_10A",7,0.412
"IAT,IAT_15",7,0.412
"SympChck,CSC_41P",7,0.412
"SympChck,CSC_55hP",7,0.412
"IAT,IAT_16",7,0.412
"CBCL,CBCL_10",7,0.412
"SympChck,CSC_55aP",7,0.412
"WHODAS_P,WHODAS_P_12",7,0.412
"SympChck,CSC_15C",7,0.412
"CBCL,CBCL_55",7,0.412
"IAT,IAT_05",7,0.412
"ESWAN,MDD_9",7,0.412
"CBCL,CBCL_86",7,0.412
"SympChck,CSC_09P",7,0.412
"CBCL,CBCL_70",7,0.412
"SympChck,CSC_53P",7,0.412
"SympChck,CSC_52C",6,0.353
"SympChck,CSC_55hC",6,0.353
"PreInt_DevHx,growth_concerns",6,0.353
"SympChck,CSC_48P",6,0.353
"SympChck,CSC_55eP",6,0.353
"SWAN,SWAN_10",6,0.353
"SympChck,CSC_43P",6,0.353
"SympChck,CSC_40P",6,0.353
"SWAN,SWAN_12",6,0.353
"SWAN,SWAN_16",6,0.353
"ESWAN,DMDD_2C",6,0.353
"ESWAN,DMDD_6B",6,0.353
"ESWAN,DMDD_7B",6,0.353
"ESWAN,MDD_6",6,0.353
"ICU_P,ICU_P_16",6,0.353
"ICU_P,ICU_P_21",6,0.353
"SympChck,CSC_03P",6,0.353
"SympChck,CSC_05P",6,0.353
"SympChck,CSC_16C",6,0.353
"SWAN,SWAN_11",6,0.353
"SympChck,CSC_26C",6,0.353
"SympChck,CSC_38C",6,0.353
"SympChck,CSC_39C",6,0.353
"PCIAT,PCIAT_17",6,0.353
"SympChck,CSC_55iP",6,0.353
"CBCL,CBCL_65",6,0.353
"IAT,IAT_06",6,0.353
"PreInt_EduHx,repeated_grades",6,0.353
"IAT,IAT_14",6,0.353
"CBCL,CBCL_66",6,0.353
"CBCL,CBCL_46",6,0.353
"CBCL,CBCL_85",6,0.353
"CBCL,CBCL_53",6,0.353
"CBCL,CBCL_29",6,0.353
"SympChck,CSC_27P",5,0.294
"SympChck,CSC_08P",5,0.294
"SympChck,CSC_23C",5,0.294
"SympChck,CSC_34P",5,0.294
"SCARED_P,SCARED_P_38",5,0.294
"SympChck,CSC_19C",5,0.294
"SCARED_P,SCARED_P_34",5,0.294
"SympChck,CSC_42C",5,0.294
"WHODAS_SR,WHODAS_SR_11",5,0.294
"CBCL,CBCL_40",5,0.294
"CBCL,CBCL_56C",5,0.294
"SympChck,CSC_07P",5,0.294
"CIS_SR,CIS_SR_03",5,0.294
"SympChck,CSC_01P",5,0.294
"ICU_P,ICU_P_19",5,0.294
"ICU_P,ICU_P_15",5,0.294
"ICU_P,ICU_P_10",5,0.294
"CBCL,CBCL_73",5,0.294
"CBCL,CBCL_77",5,0.294
"CBCL,CBCL_84",5,0.294
"CBCL,CBCL_98",5,0.294
"ESWAN,MDD_5",5,0.294
"ESWAN,DMDD_3C",5,0.294
"ESWAN,DMDD_4B",5,0.294
"ESWAN,DMDD_5B",5,0.294
"ESWAN,DMDD_6C",5,0.294
"WHODAS_SR,WHODAS_SR_12",5,0.294
"ESWAN,DMDD_8A",5,0.294
"PCIAT,PCIAT_19",5,0.294
"SympChck,CSC_55cP",5,0.294
"SympChck,CSC_55aC",5,0.294
"SympChck,CSC_55bC",5,0.294
"IAT,IAT_10",5,0.294
"IAT,IAT_09",5,0.294
"IAT,IAT_08",5,0.294
"IAT,IAT_04",5,0.294
"SympChck,CSC_49P",5,0.294
"IAT,IAT_17",5,0.294
"PCIAT,PCIAT_20",5,0.294
"SympChck,CSC_52P",5,0.294
"SympChck,CSC_55dP",5,0.294
"CBCL,CBCL_103",5,0.294
"PCIAT,PCIAT_05",5,0.294
"PCIAT,PCIAT_03",4,0.235
"ESWAN,MDD_4",4,0.235
"PCIAT,PCIAT_08",4,0.235
"CBCL,CBCL_96",4,0.235
"SCQ,SCQ_18",4,0.235
"CBCL,CBCL_105",4,0.235
"CBCL,CBCL_92",4,0.235
"CBCL,CBCL_91",4,0.235
"IAT,IAT_20",4,0.235
"SCQ,SCQ_39",4,0.235
"MFQ_P,MFQ_P_33",4,0.235
"CBCL,CBCL_90",4,0.235
"PCIAT,PCIAT_18",4,0.235
"CBCL,CBCL_56D",4,0.235
"SWAN,SWAN_13",4,0.235
"ICU_P,ICU_P_22",4,0.235
"ICU_P,ICU_P_17",4,0.235
"SWAN,SWAN_14",4,0.235
"PCIAT,PCIAT_15",4,0.235
"CIS_P,CIS_P_05",4,0.235
"SympChck,CSC_28C",4,0.235
"SympChck,CSC_50C",4,0.235
"SympChck,CSC_51P",4,0.235
"ESWAN,DMDD_7A",4,0.235
"SympChck,CSC_43C",4,0.235
"CBCL,CBCL_09",4,0.235
"CBCL,CBCL_28",4,0.235
"SympChck,CSC_36C",4,0.235
"IAT,IAT_03",4,0.235
"CBCL,CBCL_32",4,0.235
"SympChck,CSC_33C",4,0.235
"ESWAN,DMDD_6A",4,0.235
"CIS_P,CIS_P_10",4,0.235
"SCQ,SCQ_15",4,0.235
"ESWAN,MDD_2B",4,0.235
"CBCL,CBCL_44",4,0.235
"CBCL,CBCL_49",4,0.235
"SympChck,CSC_53C",4,0.235
"SympChck,CSC_17C",4,0.235
"SympChck,CSC_24C",4,0.235
"PCIAT,PCIAT_14",4,0.235
"ESWAN,DMDD_4A",4,0.235
"ESWAN,SocAnx_03",3,0.176
"SCQ,SCQ_10",3,0.176
"ESWAN,MDD_3B",3,0.176
"SympChck,CSC_55gC",3,0.176
"ESWAN,SocAnx_05",3,0.176
"CBCL,CBCL_100",3,0.176
"ESWAN,SocAnx_01",3,0.176
"CBCL,CBCL_94",3,0.176
"CBCL,CBCL_79",3,0.176
"ESWAN,MDD_1B",3,0.176
"ESWAN,MDD_2A",3,0.176
"SCQ,SCQ_13",3,0.176
"CBCL,CBCL_80",3,0.176
"CBCL,CBCL_15",3,0.176
"SCQ,SCQ_17",3,0.176
"SCQ,SCQ_32",3,0.176
"CBCL,CBCL_16",3,0.176
"CBCL,CBCL_109",3,0.176
"SympChck,CSC_35C",3,0.176
"SympChck,CSC_30C",3,0.176
"SympChck,CSC_28P",3,0.176
"SympChck,CSC_27C",3,0.176
"CBCL,CBCL_48",3,0.176
"SympChck,CSC_54C",3,0.176
"CBCL,CBCL_50",3,0.176
"SympChck,CSC_18C",3,0.176
"CBCL,CBCL_56E",3,0.176
"CBCL,CBCL_56F",3,0.176
"SympChck,CSC_12C",3,0.176
"SympChck,CSC_11C",3,0.176
"SympChck,CSC_10C",3,0.176
"CBCL,CBCL_58",3,0.176
"CBCL,CBCL_60",3,0.176
"SympChck,CSC_06C",3,0.176
"SympChck,CSC_04P",3,0.176
"SympChck,CSC_02P",3,0.176
"SympChck,CSC_02C",3,0.176
"SympChck,CSC_55cC",3,0.176
"ICU_P,ICU_P_23",3,0.176
"ICU_P,ICU_P_20",3,0.176
"ICU_P,ICU_P_18",3,0.176
"SCQ,SCQ_37",3,0.176
"SCQ,SCQ_36",3,0.176
"SCQ,SCQ_35",3,0.176
"SCQ,SCQ_34",3,0.176
"PCIAT,PCIAT_10",3,0.176
"ESWAN,SocAnx_02",3,0.176
"MFQ_P,MFQ_P_08",3,0.176
"SCARED_P,SCARED_P_30",3,0.176
"CIS_SR,CIS_SR_07",3,0.176
"MFQ_P,MFQ_P_03",3,0.176
"IAT,IAT_11",3,0.176
"SWAN,SWAN_08",3,0.176
"MFQ_P,MFQ_P_29",3,0.176
"IAT,IAT_13",3,0.176
"MFQ_P,MFQ_P_32",3,0.176
"IAT,IAT_18",3,0.176
"IAT,IAT_19",3,0.176
"SWAN,SWAN_02",3,0.176
"SCARED_P,SCARED_P_25",3,0.176
"PCIAT,PCIAT_04",3,0.176
"PCIAT,PCIAT_06",3,0.176
"MFQ_P,MFQ_P_09",3,0.176
"PCIAT,PCIAT_09",3,0.176
"WHODAS_P,WHODAS_P_08",3,0.176
"PCIAT,PCIAT_12",3,0.176
"WHODAS_P,WHODAS_P_09",3,0.176
"WHODAS_P,WHODAS_P_07",3,0.176
"CBCL,CBCL_36",2,0.118
"CBCL,CBCL_25",2,0.118
"CBCL,CBCL_39",2,0.118
"SympChck,CSC_03C",2,0.118
"SCARED_P,SCARED_P_20",2,0.118
"SCARED_P,SCARED_P_19",2,0.118
"WHODAS_SR,WHODAS_SR_07",2,0.118
"SympChck,CSC_01C",2,0.118
"ICU_P,ICU_P_24",2,0.118
"SCARED_P,SCARED_P_15",2,0.118
"SCARED_P,SCARED_P_14",2,0.118
"MFQ_P,MFQ_P_02",2,0.118
"CBCL,CBCL_43",2,0.118
"ICU_P,ICU_P_14",2,0.118
"SympChck,CSC_25C",2,0.118
"ICU_P,ICU_P_13",2,0.118
"ICU_P,ICU_P_11",2,0.118
"ICU_P,ICU_P_07",2,0.118
"SympChck,CSC_41C",2,0.118
"ICU_P,ICU_P_03",2,0.118
"CBCL,CBCL_18",2,0.118
"SCQ,SCQ_40",2,0.118
"CBCL,CBCL_17",2,0.118
"SympChck,CSC_44C",2,0.118
"WHODAS_SR,WHODAS_SR_05",2,0.118
"CIS_P,CIS_P_04",2,0.118
"SympChck,CSC_05C",2,0.118
"WHODAS_SR,WHODAS_SR_02",2,0.118
"SympChck,CSC_31C",2,0.118
"WHODAS_P,WHODAS_P_11",2,0.118
"CBCL,CBCL_35",2,0.118
"SCARED_P,SCARED_P_37",2,0.118
"SCARED_P,SCARED_P_27",2,0.118
"SCARED_P,SCARED_P_26",2,0.118
"SympChck,CSC_14C",2,0.118
"SympChck,CSC_29C",2,0.118
"SympChck,CSC_13C",2,0.118
"CBCL,CBCL_33",2,0.118
"SCARED_P,SCARED_P_21",2,0.118
"CBCL,CBCL_51",2,0.118
"CBCL,CBCL_57",2,0.118
"SympChck,CSC_21C",2,0.118
"SympChck,CSC_34C",2,0.118
"SympChck,CSC_09C",2,0.118
"WHODAS_SR,WHODAS_SR_10",2,0.118
"WHODAS_SR,WHODAS_SR_03",2,0.118
"SympChck,CSC_22C",2,0.118
"CBCL,CBCL_45",2,0.118
"SWAN,SWAN_06",2,0.118
"CBCL,CBCL_62",2,0.118
"SWAN,SWAN_04",2,0.118
"SWAN,SWAN_07",2,0.118
"ESWAN,SocAnx_04A",2,0.118
"CBCL,CBCL_76",2,0.118
"ESWAN,SocAnx_04B",2,0.118
"CBCL,CBCL_83",2,0.118
"SCARED_P,SCARED_P_09",2,0.118
"CBCL,CBCL_88",2,0.118
"CBCL,CBCL_89",2,0.118
"PCIAT,PCIAT_01",2,0.118
"PCIAT,PCIAT_02",2,0.118
"ESWAN,DMDD_1B",2,0.118
"CBCL,CBCL_93",2,0.118
"ESWAN,DMDD_1C",2,0.118
"CBCL,CBCL_95",2,0.118
"ESWAN,DMDD_2A",2,0.118
"CBCL,CBCL_97",2,0.118
"CBCL,CBCL_104",2,0.118
"SympChck,CSC_55eC",2,0.118
"CBCL,CBCL_Ext_T",2,0.118
"SympChck,CSC_55fC",2,0.118
"CBCL,CBCL_101",2,0.118
"CBCL,CBCL_RBB_T",2,0.118
"CBCL,CBCL_SC_T",2,0.118
"SCARED_P,SCARED_P_02",2,0.118
"ESWAN,DMDD_3A",2,0.118
"PCIAT,PCIAT_13",2,0.118
"ESWAN,MDD_3A",2,0.118
"CIS_P,CIS_P_11",2,0.118
"CIS_P,CIS_P_07",2,0.118
"ESWAN,MDD_1A",2,0.118
"CBCL,CBCL_TP_T",2,0.118
"CBCL,CBCL_Total_T",2,0.118
"MFQ_P,MFQ_P_27",2,0.118
"CBCL,CBCL_42",2,0.118
"CBCL,CBCL_75",2,0.118
"IAT,IAT_02",2,0.118
"CBCL,CBCL_13",2,0.118
"SCQ,SCQ_24",2,0.118
"SCQ,SCQ_23",2,0.118
"SCQ,SCQ_22",2,0.118
"SCQ,SCQ_21",2,0.118
"SCQ,SCQ_20",2,0.118
"MFQ_P,MFQ_P_18",2,0.118
"SympChck,CSC_51C",2,0.118
"SCQ,SCQ_09",2,0.118
"SCQ,SCQ_14",2,0.118
"CBCL,CBCL_74",2,0.118
"MFQ_P,MFQ_P_24",2,0.118
"CIS_SR,CIS_SR_11",1,0.059
"CBCL,CBCL_19",1,0.059
"WHODAS_SR,WHODAS_SR_08",1,0.059
"CBCL,CBCL_38",1,0.059
"CBCL,CBCL_31",1,0.059
"WHODAS_P,WHODAS_P_10",1,0.059
"WHODAS_SR,WHODAS_SR_09",1,0.059
"CBCL,CBCL_106",1,0.059
"CBCL,CBCL_110",1,0.059
"CBCL,CBCL_12",1,0.059
"CBCL,CBCL_08",1,0.059
"CBCL,CBCL_06",1,0.059
"CBCL,CBCL_108",1,0.059
"CBCL,CBCL_07",1,0.059
"CBCL,CBCL_14",1,0.059
"IAT,IAT_12",1,0.059
"CBCL,CBCL_20",1,0.059
"WHODAS_SR,WHODAS_SR_04",1,0.059
"SympChck,CSC_40C",1,0.059
"CBCL,CBCL_34",1,0.059
"SympChck,CSC_49C",1,0.059
"WHODAS_SR,WHODAS_SR_06",1,0.059
"CBCL,CBCL_22",1,0.059
"CBCL,CBCL_23",1,0.059
"CIS_SR,CIS_SR_08",1,0.059
"CBCL,CBCL_11",1,0.059
"WHODAS_SR,WHODAS_SR_01",1,0.059
"CBCL,CBCL_107",1,0.059
"CBCL,CBCL_26",1,0.059
"CBCL,CBCL_27",1,0.059
"CIS_SR,CIS_SR_10",1,0.059
"CIS_SR,CIS_SR_04",1,0.059
"CIS_P,CIS_P_06",1,0.059
"WHODAS_P,WHODAS_P_04",1,0.059
"WHODAS_P,WHODAS_P_03",1,0.059
"MFQ_P,MFQ_P_28",1,0.059
"SCQ,SCQ_01",1,0.059
"MFQ_P,MFQ_P_25",1,0.059
"CBCL,CBCL_72",1,0.059
"SCQ,SCQ_08",1,0.059
"MFQ_P,MFQ_P_23",1,0.059
"SCQ,SCQ_11",1,0.059
"SCQ,SCQ_12",1,0.059
"MFQ_P,MFQ_P_22",1,0.059
"MFQ_P,MFQ_P_21",1,0.059
"MFQ_P,MFQ_P_20",1,0.059
"SCQ,SCQ_25",1,0.059
"SCQ,SCQ_30",1,0.059
"SCQ,SCQ_31",1,0.059
"MFQ_P,MFQ_P_17",1,0.059
"PCIAT,PCIAT_11",1,0.059
"CBCL,CBCL_78",1,0.059
"MFQ_P,MFQ_P_34",1,0.059
"CBCL,CBCL_Int_T",1,0.059
"CBCL,CBCL_WD_T",1,0.059
"CBCL,CBCL_SP_T",1,0.059
"SCARED_P,SCARED_P_01",1,0.059
"ESWAN,DMDD_3B",1,0.059
"CBCL,CBCL_SC",1,0.059
"CBCL,CBCL_RBB",1,0.059
"CBCL,CBCL_AP_T",1,0.059
"CBCL,CBCL_81",1,0.059
"CBCL,CBCL_AD_T",1,0.059
"CBCL,CBCL_AB_T",1,0.059
"ESWAN,DMDD_2B",1,0.059
"ESWAN,DMDD_1A",1,0.059
"SCARED_P,SCARED_P_05",1,0.059
"SCARED_P,SCARED_P_08",1,0.059
"SCQ,SCQ_33",1,0.059
"MFQ_P,MFQ_P_14",1,0.059
"MFQ_P,MFQ_P_07",1,0.059
"CBCL,CBCL_52",1,0.059
"SWAN,SWAN_03",1,0.059
"CBCL,CBCL_56G",1,0.059
"SCARED_P,SCARED_P_22",1,0.059
"SCARED_P,SCARED_P_24",1,0.059
"CBCL,CBCL_54",1,0.059
"SCARED_P,SCARED_P_28",1,0.059
"SCARED_P,SCARED_P_32",1,0.059
"SympChck,CSC_07C",1,0.059
"SCARED_P,SCARED_P_33",1,0.059
"SCARED_P,SCARED_P_39",1,0.059
"SCARED_P,SCARED_P_40",1,0.059
"CBCL,CBCL_47",1,0.059
"SCARED_P,SCARED_P_41",1,0.059
"SCARED_P,SCARED_P_PN",1,0.059
"SWAN,SWAN_05",1,0.059
"CBCL,CBCL_64",1,0.059
"SCQ,SCQ_38",1,0.059
"ICU_P,ICU_P_12",1,0.059
"MFQ_P,MFQ_P_06",1,0.059
"ICU_P,ICU_P_02",1,0.059
"ICU_P,ICU_P_04",1,0.059
"ICU_P,ICU_P_05",1,0.059
"ICU_P,ICU_P_06",1,0.059
"MFQ_P,MFQ_P_05",1,0.059
"MFQ_P,MFQ_P_04",1,0.059
"SympChck,CSC_04C",1,0.059
"CBCL,CBCL_71",1,0.059
"MFQ_P,MFQ_P_01",1,0.059
"SCARED_P,SCARED_P_12",1,0.059
"SCARED_P,SCARED_P_13",1,0.059
"SCARED_P,SCARED_P_16",1,0.059
"SWAN,SWAN_09",1,0.059
"CBCL,CBCL_04",1,0.059
