,Respondents,Assessments,N of Assessments,Last Assessment
17,1700,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck']",18,SympChck
18,1699,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS']",19,SRS
19,1697,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P']",20,ARI_P
20,1695,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ']",21,SDQ
21,1694,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS']",22,DTS
22,1692,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ']",23,ASSQ
23,1685,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt']",24,Barratt
24,1678,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS']",25,SAS
25,1620,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P']",26,APQ_P
26,1605,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR']",27,APQ_SR
27,1534,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR', 'RBS']",28,RBS
28,1501,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR', 'RBS', 'PhenX_Neighborhood']",29,PhenX_Neighborhood
29,1440,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'PSI']",30,PSI
30,1239,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'PSI', 'C3SR']",31,C3SR
31,1235,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'PSI', 'C3SR', 'SCARED_SR']",32,SCARED_SR
32,1219,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'PSI', 'C3SR', 'SCARED_SR', 'CCSC']",33,CCSC
33,990,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'PSI', 'C3SR', 'SCARED_SR', 'CCSC', 'CPIC']",34,CPIC
34,488,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'PSI', 'C3SR', 'SCARED_SR', 'CCSC', 'CPIC', 'YSR']",35,YSR
35,341,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'PSI', 'C3SR', 'SCARED_SR', 'CCSC', 'CPIC', 'YSR', 'PhenX_SchoolRisk']",36,PhenX_SchoolRisk
36,0,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'PSI', 'C3SR', 'SCARED_SR', 'CCSC', 'CPIC', 'YSR', 'PhenX_SchoolRisk', 'CBCL_Pre']",37,CBCL_Pre
37,0,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'PSI', 'C3SR', 'SCARED_SR', 'CCSC', 'CPIC', 'YSR', 'PhenX_SchoolRisk', 'CBCL_Pre', 'SRS_Pre']",38,SRS_Pre
38,0,"['CBCL', 'Basic_Demos', 'CIS_P', 'SCARED_P', 'WHODAS_P', 'WHODAS_SR', 'WISC', 'CIS_SR', 'NIH_Scores', 'PreInt_EduHx', 'PCIAT', 'PreInt_DevHx', 'SWAN', 'MFQ_P', 'ESWAN', 'SCQ', 'ICU_P', 'SympChck', 'SRS', 'ARI_P', 'SDQ', 'DTS', 'ASSQ', 'Barratt', 'SAS', 'APQ_P', 'APQ_SR', 'RBS', 'PhenX_Neighborhood', 'PSI', 'C3SR', 'SCARED_SR', 'CCSC', 'CPIC', 'YSR', 'PhenX_SchoolRisk', 'CBCL_Pre', 'SRS_Pre', 'ASR']",39,ASR
