,Respondents,Assessments,N of Assessments,Last Assessment
28,1567,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL', 'SRS', 'SDQ', 'RBS', 'APQ_P', 'APQ_SR', 'PhenX_Neighborhood', 'PSI']",29,PSI
29,1360,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL', 'SRS', 'SDQ', 'RBS', 'APQ_P', 'APQ_SR', 'PhenX_Neighborhood', 'PSI', 'SCARED_SR']",30,SCARED_SR
30,1353,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL', 'SRS', 'SDQ', 'RBS', 'APQ_P', 'APQ_SR', 'PhenX_Neighborhood', 'PSI', 'SCARED_SR', 'C3SR']",31,C3SR
31,1333,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL', 'SRS', 'SDQ', 'RBS', 'APQ_P', 'APQ_SR', 'PhenX_Neighborhood', 'PSI', 'SCARED_SR', 'C3SR', 'CCSC']",32,CCSC
32,1086,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL', 'SRS', 'SDQ', 'RBS', 'APQ_P', 'APQ_SR', 'PhenX_Neighborhood', 'PSI', 'SCARED_SR', 'C3SR', 'CCSC', 'CPIC']",33,CPIC
33,570,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL', 'SRS', 'SDQ', 'RBS', 'APQ_P', 'APQ_SR', 'PhenX_Neighborhood', 'PSI', 'SCARED_SR', 'C3SR', 'CCSC', 'CPIC', 'YSR']",34,YSR
34,422,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL', 'SRS', 'SDQ', 'RBS', 'APQ_P', 'APQ_SR', 'PhenX_Neighborhood', 'PSI', 'SCARED_SR', 'C3SR', 'CCSC', 'CPIC', 'YSR', 'PhenX_SchoolRisk']",35,PhenX_SchoolRisk
35,2,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL', 'SRS', 'SDQ', 'RBS', 'APQ_P', 'APQ_SR', 'PhenX_Neighborhood', 'PSI', 'SCARED_SR', 'C3SR', 'CCSC', 'CPIC', 'YSR', 'PhenX_SchoolRisk', 'ASR']",36,ASR
36,0,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL', 'SRS', 'SDQ', 'RBS', 'APQ_P', 'APQ_SR', 'PhenX_Neighborhood', 'PSI', 'SCARED_SR', 'C3SR', 'CCSC', 'CPIC', 'YSR', 'PhenX_SchoolRisk', 'ASR', 'CBCL_Pre']",37,CBCL_Pre
37,0,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL', 'SRS', 'SDQ', 'RBS', 'APQ_P', 'APQ_SR', 'PhenX_Neighborhood', 'PSI', 'SCARED_SR', 'C3SR', 'CCSC', 'CPIC', 'YSR', 'PhenX_SchoolRisk', 'ASR', 'CBCL_Pre', 'SRS_Pre']",38,SRS_Pre
